candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote,ahcb_county,id,fips
3,Otsego,ny.uscongress10.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,John Winn,WJ0414,Republican,A03,212,OTSEGO,nys_otsego,36077
4,Otsego,ny.uscongress10.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Andrew Fink,FA0037,Republican,A03,NA,OTSEGO,nys_otsego,36077
5,Otsego,ny.uscongress10.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Josiah Crane,CJ0466,Republican,A03,NA,OTSEGO,nys_otsego,36077
1,Tioga,ny.uscongress10.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Silas Talbot,TS0063,Federalist,A01,217,TIOGA,nys_tioga,36107
2,Tioga,ny.uscongress10.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,William Cooper,CW0154,Federalist,A01,18,TIOGA,nys_tioga,36107
3,Tioga,ny.uscongress10.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,John Winn,WJ0414,Republican,A03,26,TIOGA,nys_tioga,36107
4,Tioga,ny.uscongress10.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Andrew Fink,FA0037,Republican,A03,NA,TIOGA,nys_tioga,36107
5,Tioga,ny.uscongress10.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Josiah Crane,CJ0466,Republican,A03,NA,TIOGA,nys_tioga,36107
1,New York,ny.uscongress2.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 2",U.S. House of Representatives,ON125,John Watts,WJ0410,Federalist,A01,1872,NEW YORK,nys_newyork,36061
2,New York,ny.uscongress2.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 2",U.S. House of Representatives,ON125,William S. Livingston,LW0102,Republican,A03,707,NEW YORK,nys_newyork,36061
1,Richmond,ny.uscongress3.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Philip Van Cortlandt,VP0041,Republican,A03,123,RICHMOND,nys_richmond,36085
2,Richmond,ny.uscongress3.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Richard Hatfield,HR0118,Federalist,A01,100,RICHMOND,nys_richmond,36085
1,Westchester,ny.uscongress3.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Philip Van Cortlandt,VP0041,Republican,A03,850,WESTCHESTER,nys_westchester,36119
2,Westchester,ny.uscongress3.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Richard Hatfield,HR0118,Federalist,A01,708,WESTCHESTER,nys_westchester,36119
